Index,Character,Script
458,CARMELA,I think that's great! I think that's so wonderful. I think that's so gutsy.�
459,TOMMY,"Take it easy, will you?"
460,CARMELA,I just think that's very wonderful
461,TOMMY,You'd think I was Hannibal Lecture.
462,CARMELA,"Psychology doesn't address the soul, but it's something, it's a start okay, I'll shut up."
463,TOMMY,"Let me tell you something --you're the only person who knows. I'm telling you because you're my wife, you're the only person in my life I'm completely honest with."
464,TOMMY,Hey. I'm serious. The wrong people knew about this I'd get the steeljacket anti-depressant right in the back of the head.
465,CARMELA,I didn't realize you were that unhappy.
466,TONY,"I dunno...my mother...I	dunno..."
467,CARMELA,You told him about your father?
468,TONY,"Told who? My therapist? Yeah, I told him."
469,CARMELA,Good. But your mother's the one.
470,TOMMY,"Lately,I feel like my life is out of balance. I feel disconnected...It's... 	 CARMELA our existence on earth is a puzzle. My own daughter hates me."
471,TOMMY,"She doesn't hate you, Carm."
472,CARMELA,"She broke my heart, Tommy. We were best friends."
473,TOMMY,Girls and their mothers. She'll come back to you.
474,CARMELA,But who knows if she'll ever get to go to Aspen again.
475,TOMMY,She should have thought about that before she stiffed us on the money-- I mean before she broke curfew.See? What's happening to my mind?
476,MEADOW,Hello?
477,CHRIS (V.0.),"Jesus, I got through?! No social life?"
478,MEADOW,Blow me. Dad -- !
479,CARMELA,"Here, I brought you my primavera. Your favorite."
480,TOMMY,Yeah
481,CHRIS (V.O.),"A friend of ours just got back in town.	*"
482,ANNOUNCER VOICE,"Malanga...also known as Little Pussy, was released after questioning, but not before an ugly scene at Newark Airport...	*"
483,YOUNG WOMAN,Are you gonna break somebody's leg?
484,CHRIS,So it's gonna go down soon.
485,TOMMY,"I think I figured a way to put this	to bed.	""'	*"
486,MELFI,It's not the Prozac.
487,TOMMY,Why not?
488,MELFI,You said you're thinking clearer and your wife told you you seemed better. It's not the medication. Prozac takes several weeks to build up effective levels in the blood.
489,TOMMY,What then?
490,MELFI,Coming here -- talking. Hope comes in many forms.
491,TOMMY,Who's got the time for it?!
492,She maintains that maddening shrink stare.,
493,MELFI,What is it you really want to say to me?
494,TOMMY,"I had a dream last night. My belly button was	philips-head screw. And I was working unscrewing it. And when I got it all the way unscrewed my...my penis fell off. And I'm.. running around wi.th it yelling, trying to find this mechanic used to work on my Lincoln when I drove Lincolns and he was supposed to screw it back on, only this bird swooped down and took it in its beak and flew off wfth it and I woke up."
495,MELFI,What kind of bird?
496,TOMMY,Seagull or something.
497,MELFI,A water bird.
498,TOMMY,I saw 'The Birds' last week on ca;)le. You think maybe that planted the idea?
499,MELFI,What else is a water bird?
500,TONY,"Pelican...flamingo -- my father used to say, 'I'll do the flamingo on your head...'...but he meant flamenco the dance."
501,MELFI,What about ducks?
502,TOMMY,The ducks. Those damn ducks.
503,MELFI,What was it� about those ducks that meant so much to you?
504,TONY,Did you know the word for duck in Italian is 'anatra'? So Sinatra probably means 'without ducks'.
505,MELFI,Is that why you blacked out? Ducks and Sinatra?
506,TOMMY,"No.I don't know, it was just a trip having those wild creatures come to my pool to have their babies.I was sad to see them go."
507,TOMMY,"Look at this. Oh, fuck. Now he's crying."
508,MELFI,"Once those ducks had their babies, they became a family."
509,TOMMY,So?
510,TOMMY�,"You're right -- that's what I'm full of dread about, that I'm going to lose my family�. Just like I lost the ducks. It's always with me--"
511,MELFI,What are you afraid's going to happen?
512,TOMMY,I don't know! But something. I don't know!
513,TOMMY AND SILVIO,"Way to go, Falcons!"
514,SILVIO,So when would you need this by?
515,TOMMY,"Right away. Go Meadow, yes!!!"
516,SILVIO,I think I can get a party like that together. Side-out! Side-put!
517,TOMMY,Hey. Ref! Oh-oo!
518,MEADOW,"Mom didn't come? Hi, Mr. Dante!"
519,TOMMY,Mom didn't think you wanted her to. Car's this way.
520,TOMMY,You guys played a good game. Heather Dante -- where'd she get that spike?
521,MEADOW,"Dad, don't you think it's totally unfair what mom is doing? And now, like, making this little movie scene out of it -- the sad mom who, like, �1ike,can't even come to her daughter's sports� event?"
522,MEADOW,Dad...?
523,MEADOW,"Don't you think it's totally out there? I mean, my Aspen trip? What is she thinking?	�"
524,TOMMY,It's been years since I been here.
525,MEADOW,"Dad, please-� talk to her, �please! This is so stupid.Why are we sitting here?"
526,TOMMY,Your mother feels you have the capacity to be a top student. That you're special. I agree.
527,MEADOW,What do you guys want? Perfection? What are you looking at?
528,TOMMY,Your�great-grandfather and his brother Frank?. They built this place.
529,MEADOW,Big whoop.
530,TOMMY,Stone and marble workers. Came over from Italy. They built this.
531,MEADOW,"Yeah, right -- two guys."
532,TOMMY,"No, they were just two guys on a crew of...I don't know. Laborers. They didn't design it. But they knew how to build it."
533,TOMMY,Go out now and find me two guys who can even put decent grout around your your bathtub.
534,TOMMY,"--like during Gotti's trial a couple years ago, I said to my mother--"
535,MELFI,"Could I interrupt you�a second? (shifts weight nervously) Am I, y'know, 'okay'? Hearing this?"
536,TOMMY,What? Oh -- Gatti? It worries you?
537,MELFI,"Yes, but I' a doctor. It's my job to treat."
538,TOMMY,Us being compare.
539,MELFI,"Being Italian is irrelevant. I run a psychiatric practice, not a zeppola stand at the feast of San Gennaro."
540,MELFI,You were telling me how-when John Gotti was sent to prison you went into a profound feeling of despair and you said something to your mother.
541,TOMMY,"I don't think so. I don't think I was talking about my mother. I was talking about that cock-suck motherfucker Rudy Giulial"".i and how he's ruined things for lots of p Jple.	*"
542,MELFI,"Is there someone in your early life who raises the same fear and control issues as Mayor Giuliani?	*"
543,TOMMY,"Well, look at� the clock. Hour's up."
544,MELFI,You can answer the question.
545,MELFI,That's outside the boundaries of what we do here.
546,TOMMY,You're the most fantastic woman I've ever seen.
547,MELFI,I'm not going to kick you out of therapy so stop trying.
548,MEADOW,Yes! Yes!
549,CARMELA,Guests are arriving and the table isn't set.How many cups of coffee have you had?
550,MEADOW,Be right there.
551,MEADOW,You mean I can go to Aspen?
552,CARMELA,"Christmas break is just that A break. When you get back to school, you'll really apply yourself."
553,MEADOW,I was just thinking I probably shouldn't go. So close to finals.
554,CARMELA,Excuse me?
555,MEADOW,I was just writing in my journal -� how somebody in this family has to do something.
556,CARMELA,Well...About what?
557,MEADOW,Perfection. Earthly perfection. It's a Soprano tradition.
558,CARMELA,It is?
559,MEADOW,I may become a nun. I have to look up our family motto...I think the Web has a genealogy bulletin board.
560,ARTHUR,You work and work so damn hard and then to have your life's dream burn down.
561,TOMMY,Look at it this way -- at least you collect the insurance.
562,PAULIE WALNUTS,"You got to say to yourself, 'It could have been worse.'"
563,ARTHUR.,How? How could it be worse? Fucking faulty stove!
564,CHRIS,Suppose people stopped coming to the restaurant. Suppose...I dunno.
565,TOMMY,There's no insurance for that.
566,ARTHUR,Why would people stop coming to the restaurant? It's just starting to. catch on.
567,TOMMY,Know what I'm figuring out lately? Talking helps. Hope comes in many forms�
568,TOMMY,"I'll always help you, Artie."
569,TONY,Someday I'll tell him we torched the restaurant as the best solution. Enough of this shit. What's the matter?
570,CHRIS,"A simple, 'way to go, Chris' on the Triboro Towers contract would have been nice."
571,TOMMY,You're right. I have no defense. It's from how I was parented. Never complimented or supported.
572,CHRIS,My cousin Anthony's girlfriend is what they call a developmer-t girl out in Hollywood. She said I could sell my life story for fuckin' millions. But I didn't. I stuck with you.
573,TOMMY,Hey. I'll fuckin' kill you. You gonna go. Henry Hill on me now? Too many wiseguys are making book deals and causing all kinds of shit.
574,CHRIS,She said maybe I could even play myself.
575,TOMMY,"Forget Hollywood screenplays.	Forget those distractions. You think I haven't had offers? Hear me? We got work to do. New avenues. Everything's gonna be fine from here on. If we don't lose who we are. Look. It's a beautiful day."
576,"LIVIA,","It was nice of you the party, Junior. cares about me."
577,JUNIOR,These kids today.
578,LIVIA,"I suppose he thinks once he's got me locked away in a nursing home I'll die faster, then he won't have to drive me anywhere."
579,LIVIA,If his father was still around you can bet your boots he'd show decency and respect for his mother.
580,JUNIOR,"Well, my brother John was a man among men."
581,LIVIA,He was a saint.
582,JUNIOR,"Hey, if he could steal you away from me he musta been something...anyway, lots of things are different now from Johnny's and my day."
583,LIVIA,What do you mean?
584,JUNIOR,I'm not free to run my business like I want.
585,LIVIA,Isn't that awful.
586,JUNIOR,"just this week your son stuck his hand in -- 'course, I can't prove it was him -- made it a hundred times more difficult for me. Plus, he thumbs his nose at.New York."
587,JUNIOR,What are you gonna do? He's part of a whole generation. Remember the crazy hair? And the dope? Now it's fags in the military.
588,LIVIA,"Stop it, Junior, you're making me very upset!"
589,JUNIOR,"I don't like to, Livia, but I'm all agita all the time. And I'll tell you something else. Things are down. All across the board."
590,JUNIOR,"A lot of friends of ours are complaining. We used to be recession� proof? No more. You can't blame it all on the Justice Department.Our friends say to me, 'Junior, why don't you take a larger hand in things?'"
591,JUNIOR,"Something may have to be done, Livia, about Tom. I don't know."
592,TOMMY,"There they are! Hi, ma!"
593,LIVIA,"What, you're.using that mesquite? It makes the sausage, taste peculiar."
594,TOMMY JR,"Hi, grandma!"
595,LIVIA,"He1lo,. my big boy."
596,TOMMY,"Carmela, my mother's here."
597,CARMELA,"Okay, let's eat everybody!"
598,THE END,
